"","estado","ano","turno","situacao","quantidade","proporcao"
"282","Santa Catarina",2006,2,"VALIDOS",3258120,0.390802915680599
"283","Santa Catarina",2010,1,"VALIDOS",3623129,0.798623366054491
"284","Santa Catarina",2010,2,"VALIDOS",3586361,0.790499487637731
"285","Santa Catarina",2014,1,"VALIDOS",3707920,0.763617102426575
"286","Santa Catarina",2014,2,"VALIDOS",3822887,0.787258149845417
"287","Santa Catarina",1994,1,"VALIDOS",2376413,0.752674920580625
"288","Santa Catarina",1998,1,"VALIDOS",2539592,0.722129224459318
"289","Santa Catarina",2002,1,"VALIDOS",3038457,0.79582967301506
"290","Santa Catarina",2002,2,"VALIDOS",2985186,0.781876985018756
"291","São Paulo",1989,1,"VALIDOS",16741344,0.904889578822311
"292","São Paulo",1989,2,"VALIDOS",16741344,0.904889578822311
"293","São Paulo",1994,1,"VALIDOS",15570323,0.749474355969637
"294","São Paulo",1998,1,"VALIDOS",16258818,0.697173976076704
"295","São Paulo",2002,1,"VALIDOS",19749403,0.769790579060993
"296","São Paulo",2002,2,"VALIDOS",20337469,0.792712166445993
"297","São Paulo",2006,1,"VALIDOS",22009043,0.392493034773613
"298","São Paulo",2006,2,"VALIDOS",22381714,0.399135572082965
"299","São Paulo",2010,1,"VALIDOS",23426299,0.773407501943811
"300","São Paulo",2010,2,"VALIDOS",22770930,0.751752953893741
"301","São Paulo",2014,1,"VALIDOS",22958510,0.717908479302678
"302","São Paulo",2014,2,"VALIDOS",23784672,0.743716276879648
"303","Sergipe",1989,1,"VALIDOS",593879,0.765237974360593
"304","Sergipe",1989,2,"VALIDOS",593879,0.765237974360593
"305","Sergipe",1994,1,"VALIDOS",572042,0.607104726366575
"306","Sergipe",1998,1,"VALIDOS",627489,0.580396767110212
"307","Sergipe",2002,1,"VALIDOS",807631,0.703552385025955
"308","Sergipe",2002,2,"VALIDOS",853912,0.743869197940995
"309","Sergipe",2006,1,"VALIDOS",1006465,0.387165954369376
"310","Sergipe",2006,2,"VALIDOS",1016234,0.390923883565359
"311","Sergipe",2010,1,"VALIDOS",1063254,0.745968313391808
"312","Sergipe",2010,2,"VALIDOS",1062142,0.745175075191583
"313","Sergipe",2014,1,"VALIDOS",1095216,0.753452297989057
"314","Sergipe",2014,2,"VALIDOS",1152475,0.792823910849575
"315","Tocantins",1994,1,"VALIDOS",345013,0.532367495637066
"316","Tocantins",1998,1,"VALIDOS",398020,0.637501121176787
"317","Tocantins",2002,1,"VALIDOS",522667,0.665481278894623
"318","Tocantins",2002,2,"VALIDOS",533754,0.679597706637535
"319","Tocantins",2006,1,"VALIDOS",668928,0.378898143029336
"320","Tocantins",2006,2,"VALIDOS",637640,0.361175809535893
"321","Tocantins",2010,1,"VALIDOS",710864,0.74993090032134
"322","Tocantins",2010,2,"VALIDOS",664585,0.701092277050578
"323","Tocantins",2014,1,"VALIDOS",733260,0.735924783641566
"324","Tocantins",2014,2,"VALIDOS",720510,0.72312046487821
